RUN	Data_Exporter.OrderDataExporterSimulation	orderdataexportersimulation	1692851565679	 	3.9.5
REQUEST		Update Order with IDSML	1692851573419	1692851573419	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
USER	Order Data Exporter Update	START	1692851573428
REQUEST		Update Order with IDSML	1692851573429	1692851573429	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573429	1692851573430	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573431	1692851573431	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573432	1692851573432	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573433	1692851573433	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573434	1692851573434	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573435	1692851573435	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573436	1692851573436	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573439	1692851573439	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573441	1692851573441	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573442	1692851573443	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573444	1692851573444	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573444	1692851573444	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573445	1692851573445	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573445	1692851573446	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573446	1692851573446	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573447	1692851573447	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573448	1692851573448	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573449	1692851573449	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573449	1692851573449	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573450	1692851573450	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573451	1692851573451	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573453	1692851573453	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573454	1692851573455	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573456	1692851573456	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573457	1692851573458	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573459	1692851573459	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573461	1692851573461	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573462	1692851573462	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573463	1692851573463	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573464	1692851573464	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573464	1692851573464	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573465	1692851573465	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573466	1692851573466	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573467	1692851573468	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573469	1692851573469	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573470	1692851573470	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573472	1692851573472	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573474	1692851573474	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573475	1692851573475	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573476	1692851573476	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573476	1692851573476	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573477	1692851573477	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573477	1692851573477	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573478	1692851573478	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573478	1692851573478	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573478	1692851573479	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573479	1692851573479	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573480	1692851573480	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573481	1692851573481	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573482	1692851573482	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573483	1692851573483	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573484	1692851573485	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573486	1692851573486	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573488	1692851573488	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573489	1692851573490	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573491	1692851573491	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692851573492	1692851573492	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
