RUN	Data_Exporter.OrderDataExporterSimulation	orderdataexportersimulation	1692850986644	 	3.9.5
REQUEST		Update Order with IDSML	1692850996442	1692850996443	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
USER	Order Data Exporter Update	START	1692850996457
REQUEST		Update Order with IDSML	1692850996457	1692850996458	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996459	1692850996459	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996459	1692850996460	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996460	1692850996460	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996461	1692850996461	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996461	1692850996461	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996463	1692850996463	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996466	1692850996466	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996468	1692850996468	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996469	1692850996469	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996470	1692850996471	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996472	1692850996472	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996474	1692850996474	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996475	1692850996475	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996476	1692850996476	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996476	1692850996476	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996477	1692850996477	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996478	1692850996478	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996478	1692850996479	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996480	1692850996480	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996484	1692850996484	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996485	1692850996485	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996486	1692850996486	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996487	1692850996487	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996488	1692850996488	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996490	1692850996490	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996491	1692850996491	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996492	1692850996492	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996492	1692850996492	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996493	1692850996493	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996493	1692850996493	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996494	1692850996494	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996494	1692850996494	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996495	1692850996495	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996499	1692850996499	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996500	1692850996500	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996501	1692850996501	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996503	1692850996503	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996504	1692850996504	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996506	1692850996506	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996507	1692850996507	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996509	1692850996509	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996510	1692850996510	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996510	1692850996511	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996511	1692850996512	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996513	1692850996513	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996514	1692850996514	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996516	1692850996517	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996519	1692850996520	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996521	1692850996521	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996522	1692850996523	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996525	1692850996525	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996526	1692850996526	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996527	1692850996527	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996529	1692850996529	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996530	1692850996530	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996531	1692850996531	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996532	1692850996533	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996533	1692850996533	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996535	1692850996535	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996538	1692850996539	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996542	1692850996542	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996544	1692850996544	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996546	1692850996547	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996548	1692850996548	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996549	1692850996549	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996550	1692850996550	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996553	1692850996553	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996556	1692850996557	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996558	1692850996558	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996560	1692850996561	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996562	1692850996563	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996564	1692850996564	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996565	1692850996565	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996566	1692850996566	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996567	1692850996567	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996568	1692850996568	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996571	1692850996571	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996573	1692850996574	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996576	1692850996576	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996579	1692850996579	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996580	1692850996581	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996582	1692850996582	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996583	1692850996583	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996585	1692850996586	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996590	1692850996590	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996592	1692850996592	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996595	1692850996595	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996596	1692850996596	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996598	1692850996598	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996599	1692850996599	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996601	1692850996601	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996603	1692850996604	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996607	1692850996607	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996608	1692850996609	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996611	1692850996611	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996612	1692850996612	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996613	1692850996613	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996614	1692850996614	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996615	1692850996615	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996616	1692850996616	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996619	1692850996619	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996621	1692850996621	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692850996622	1692850996622	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
