RUN	Data_Exporter.OrderDataExporterSimulation	orderdataexportersimulation	1692849358534	 	3.9.5
REQUEST		Update Order with IDSML	1692849366517	1692849366517	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366518	1692849366518	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366520	1692849366520	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366522	1692849366522	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366523	1692849366523	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366524	1692849366524	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366525	1692849366525	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366526	1692849366526	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366527	1692849366527	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366527	1692849366527	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366529	1692849366529	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366530	1692849366530	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366531	1692849366531	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366531	1692849366531	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366532	1692849366532	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366533	1692849366533	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366533	1692849366534	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366535	1692849366535	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366539	1692849366539	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366541	1692849366541	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
